Time [min];30-50;30-50;30-50;30-50;30-50;30-50;raw extr;raw extr;raw extr;raw extr;30-60;30-60;30-60;30-60;30-60;30-60;30-60;30-60;50;50;50;50;50;60;60;60;60;60;70;70;70;70;70;80;80;80;80;80
0;-0,035;-0,126;-0,191;-0,173;-0,451;-0,132;-0,235;-0,241;-0,244;-0,295;-0,281;-0,706;-0,145;-0,099;-0,139;-0,192;-0,1;-0,098;0,045;-0,004;0,011;0,036;0,005;0,073;-0,004;-0,024;-0,028;-0,235;-0,039;0,21;0,634;-0,062;-0,358;-0,197;0,273;0,25;-0,007;0,104
0,08;-0,05;-0,121;-0,188;-0,172;-0,44;-0,122;-0,234;-0,236;-0,239;-0,271;-0,254;-0,697;-0,144;-0,093;-0,132;-0,193;-0,112;-0,087;0,048;0,0007;0,013;0,047;0,01;0,078;-0,0001;-0,016;-0,024;-0,238;-0,033;0,229;0,658;-0,06;-0,354;-0,173;0,169;0,212;-0,002;0,162
0,17;-0,052;-0,123;-0,184;-0,162;-0,436;-0,123;-0,236;-0,235;-0,24;-0,287;-0,242;-0,693;-0,149;-0,103;-0,119;-0,161;-0,087;-0,103;0,059;0,003;0,017;0,042;0,019;0,083;0,003;-0,009;-0,019;-0,235;-0,028;0,239;0,648;-0,057;-0,344;-0,156;0,278;0,236;0,009;0,25
0,25;-0,053;-0,117;-0,187;-0,169;-0,44;-0,108;-0,234;-0,231;-0,234;-0,286;-0,244;-0,689;-0,132;-0,095;-0,123;-0,166;-0,094;-0,082;0,077;0,007;0,03;0,044;0,032;0,084;0,005;0,002;-0,012;-0,24;-0,036;0,236;0,69;-0,052;-0,343;-0,14;0,357;0,212;-0,022;0,289
0,33;-0,055;-0,116;-0,154;-0,16;-0,44;-0,101;-0,235;-0,228;-0,229;-0,278;-0,219;-0,682;-0,117;-0,08;-0,117;-0,144;-0,096;-0,094;0,067;0,012;0,027;0,046;0,041;0,087;0,009;0,002;0,019;-0,232;-0,034;0,238;0,689;-0,052;-0,335;-0,144;0,219;0,277;0,072;0,212
0,42;-0,052;-0,111;-0,166;-0,166;-0,438;-0,09;-0,228;-0,227;-0,226;-0,28;-0,19;-0,679;-0,119;-0,093;-0,111;-0,133;-0,107;-0,079;0,074;0,015;0,03;0,049;0,047;0,088;0,01;0,006;-0,003;-0,229;-0,032;0,249;0,696;-0,046;-0,34;-0,151;0,27;0,163;0,029;0,322
0,5;-0,046;-0,117;-0,177;-0,161;-0,436;-0,088;-0,224;-0,225;-0,226;-0,274;-0,23;-0,679;-0,122;-0,089;-0,11;-0,156;-0,091;-0,06;0,083;0,018;0,032;0,054;0,058;0,093;0,014;0,01;0,018;-0,224;-0,028;0,247;0,712;-0,047;-0,335;-0,128;0,303;0,292;0,02;0,247
0,58;-0,048;-0,116;-0,17;-0,159;-0,431;-0,083;-0,222;-0,222;-0,223;-0,269;-0,211;-0,666;-0,124;-0,075;-0,109;-0,121;-0,084;-0,05;0,081;0,025;0,035;0,068;0,063;0,099;0,015;0,015;0,008;-0,223;-0,029;0,259;0,731;-0,036;-0,329;-0,109;0,289;0,242;0,024;0,32
0,67;-0,04;-0,111;-0,166;-0,158;-0,432;-0,089;-0,22;-0,219;-0,215;-0,266;-0,208;-0,661;-0,116;-0,086;-0,075;-0,15;-0,054;-0,055;0,088;0,029;0,04;0,067;0,07;0,101;0,018;0,022;0,01;-0,216;-0,02;0,259;0,717;-0,035;-0,331;-0,106;0,318;0,281;0,075;0,302
0,75;-0,046;-0,086;-0,171;-0,147;-0,428;-0,084;-0,217;-0,218;-0,216;-0,263;-0,244;-0,659;-0,094;-0,077;-0,113;-0,141;-0,071;-0,068;0,091;0,032;0,044;0,068;0,072;0,105;0,025;0,026;0,016;-0,205;-0,017;0,26;0,758;-0,028;-0,323;-0,089;0,339;0,297;0,062;0,287
